NORMALIZED,ORIGINAL
SPEED 11-15 OVER LIMIT,SPEED 11-1 5 OVR U MT
SPEED 11-15 OVER LIMIT,SPEED 11-1 5 OVR UMT
SPEED 16-20 OVER LIMIT,SPEED 16 -20  OVR LIMT
SPEED 16-20 OVER LIMIT,SPEED 16 -20 OVR LIMT
SPEED 16-20 OVER LIMIT,SPEED 16-20  OVR LIMT
SPEED 16-20 OVER LIMIT,SPEED 16-20  OVR U MT
SPEED 16-20 OVER LIMIT,SPEED 16-20  OVR UMT
SPEED 16-20 OVER LIMIT,SPEED 16-20 OVR LIMT
SPEED 16-20 OVER LIMIT,SPEED 16-20 OVR UMT
SPEED 21-25 OVER LIMIT,SPEED 21- 25  OVR LIMT
SPEED 21-25 OVER LIMIT,SPEED 21 -25  OVR UMT
SPEED 21-25 OVER LIMIT,SPEED 21- 25 OVR LIMT
SPEED 21-25 OVER LIMIT,SPEED 21-25  OVR UMT
SPEED 26-30 OVER LIMIT,SPEED 26 -30  OVR LMT
STOP/STANDING IN AM RUSH,STO/PSTNDINAMRUSH
STOP SIGN IN 25 FT,STOP SIGN IN  25 FT
STOP SIGN IN 25 FT,STOP SIGN IN 25 FT
"STOP SIGN, PASSING","STOP SIGN, PASSIN G"
"STOP SIGN, PASSING","STOP SIGN, PASSING"
STOP/STAND BIKE LANE,STOP/STAND BIKE LANE
STOP/STANDING IN AM RUSH,STOP/STND IN  AM RUSH
STOP/STANDING IN AM RUSH,STOP/STND IN AM RUSH
STOP/STANDING IN AM RUSH,STOP/STND IN AMRUSH
TAGS IMPROPERLY DISPLAYED,TAGS IMPROPDISPLAY
TAGS OBSTRUCTED,TAGS OBSTRUCTED YEH PRI
"TAXICAB STAND, ON","TAXICAB STAND, ON"
TRUCK REST ROUTE,TRUCK REST ROUTE
VALET PARKING ZONE,VALET PARKING ZONE
VEH PRI PROP W/0  CST,VEH PRI PROP W/0  CST
VENDOR STAND ON,VENDOR STAND ON
YEH PRI PROP W/0 CST,YEH PRI PROP W/0   CST
YEH PRI PROP W/0 CST,YEH PRI PROP W/0  CST
YEH PRI PROP W/0 CST,YEH PRI PROP W/0 CST
YEHICLE/3FT/VEHICLE,YEHICLE/3FT/VEHICLE
